chemical,category,cytotoxicity,OSF,IUR
MBAA,HAA,0.0000096,0.001444402,2.05E-08
TBAA,HAA,0.000085,0.012788976,1.81E-07
CDBAA,HAA,0.000202,0.030392624,4.30E-07
DBAA,HAA,0.00059,0.25,1.26E-06
BDCAA,HAA,0.000685,0.185,1.46E-06
BCAA,HAA,0.000778,0.463,1.66E-06
MCAA,HAA,0.00081,0.121871415,1.73E-06
TCAA,HAA,0.0024,0.07,5.11E-06
DCAA,HAA,0.0073,0.041,1.56E-05
DBAM,HAM,0.0000122,0.001835594,2.60E-08
BCAM,HAM,0.0000171,0.002572841,3.64E-08
DCAM,HAM,0.00192,0.288880391,4.09E-06
TCAM,HAM,0.00205,0.308440001,4.37E-06
DBAN,HAN,0.00000285,0.000428807,6.07E-09
BAN,HAN,0.00000321,0.000482972,6.84E-09
IAN,HAN,0.0000033,0.000496513,7.03E-09
BCAN,HAN,0.00000846,0.001272879,1.80E-08
DCAN,HAN,0.0000573,0.008621274,1.22E-07
CAN,HAN,0.0000683,0.010276318,1.46E-07
TCAN,HAN,0.00016,0.024073366,3.41E-07
11DCP,HK,0.000001,0.000150459,2.13E-09
CP,HK,0.0000043,0.000646972,9.16E-09
111TCP,HK,0.000222,0.033401795,4.73E-07
DCNM,HNM,0.000373,0.056121034,7.95E-07
TCNM,HNM,0.000536,0.080645776,1.14E-06
TIM,I- THM,0.000066,0.009930263,1.41E-07
IAA,I-HAA,0.00000295,0.000443853,6.29E-09
CIAA,I-HAA,0.000304,0.045739395,6.48E-07
BIAA,I-HAA,0.000897,0.134961308,1.91E-06
BDIM,I-THM,0.0014,0.210641952,2.98E-06
DBIM,I-THM,0.00191,0.287375806,4.07E-06
CDIM,I-THM,0.00241,0.362605074,5.14E-06
BCIM,I-THM,0.00242,0.36410966,5.16E-06
DCIM,I-THM,0.00413,0.621393758,8.80E-06
NDEA,NISAM,,150,0.043
NDMA,NISAM,,51,0.014
NDBA,NISAM,,5.4,0.0016
NDPA,NISAM,,7,0.002
NDPhA,NISAM,,0.0049,0.0000026
NMEA,NISAM,,22,0.0063
NMOR,NISAM,,6.7,0.0019
NPIP,NISAM,,9.4,0.0027
NPYR,NISAM,,2.1,0.00061
TBM,THM,,0.0079,0.0000011
DBCM,THM,,0.084,0.000024
TCM,THM,,0.014,0.0000053
BDCM,THM,,0.13,0.000037
